title,product_price,original_price,price_w_discount,url
Magical Water Painting Set (5-7 Years),399,"1,119",359.10,https://snooplay.in/products/magical-water-painting-set-5-7-years#MainContent
Battery Operated Simulated Washing Machine with Rotating Drum (3-7 Years),"1,840","3,500",,https://snooplay.in/products/battery-operated-simulated-washing-machine-with-rotating-drum-3-7-years#MainContent
Resembling Lamborghini LP770ss Diecast Car | 1:32 Scale (3 Years till Grown Ups),"1,199","2,999","1,079.10",https://snooplay.in/products/resembling-lamborghini-lp770ss-diecast-car-1-32-scale-3-years-till-grown-ups#MainContent
Shield Blaster Shots Projectile Launcher with 6 Darts (8 Years till Grown Ups),"1,862.19","3,000","1,675.98",https://snooplay.in/products/shield-blaster-shots-projectile-launcher-with-6-darts-8-years-till-grown-ups#MainContent
Original Skip Bo Card Game (7 Years till Grown Ups),299,599,,https://snooplay.in/products/original-skip-bo-card-game-7-years-till-grown-ups-1#MainContent
Ludo Game (Travel Edition) - Mini Board Game (4 Years till Grown Ups),224.10,249,201.69,https://snooplay.in/products/ludo-game-travel-edition-mini-board-game-4-years-till-grown-ups#MainContent
Resembling Red BRABUS G700 New Diecast Car | 1:32 Scale (3 Years till Grown Ups),"1,399","2,999","1,259.10",https://snooplay.in/products/resembling-red-brabus-g700-new-diecast-car-1-32-scale-3-years-till-grown-ups#MainContent
Original Volkswagen Beetle Licensed Diecast Car with Openable Doors | 1:24 Scale Model (14 Years Till Grown Ups),"MRP: 2,295.00",,,https://snooplay.in/products/original-volkswagen-beetle-licensed-diecast-car-with-openable-doors-1-24-scale-model-14-years-till-grown-ups
Original Land Rover Series II Licensed Diecast Car with Openable Doors | 1:24 Scale Model (14 Years Till Grown Ups),"MRP: 2,295.00",,,https://snooplay.in/products/original-land-rover-series-ii-licensed-diecast-car-with-openable-doors-1-24-scale-model-14-years-till-grown-ups
Original Mercedes-Benz 300 SL (1954) Licensed Diecast Car with Openable Doors | 1:24 Scale Model (14 Years Till Grown Ups),"MRP: 2,295.00",,,https://snooplay.in/products/original-mercedes-benz-300-sl-1954-licensed-diecast-car-with-openable-doors-1-24-scale-model-14-years-till-grown-ups
Original Jawa Yezdi Classic Licensed Diecast Bike | 1:18 Scale Model (14 Years Till Grown Ups),"1,099","1,299",,https://snooplay.in/products/original-jawa-yezdi-classic-licensed-diecast-bike-1-18-scale-model-14-years-till-grown-ups
